refArea,Existence of educational resources - exists,Type and size of educational resources - vocational institute,Observation URI,references,publisher,Existence of educational resources - does not exist,Nb of universities by type - Lebanese University branches,Public school coverage index (number of schools per citizen),Type and size of educational resources - public schools,Type and size of educational resources - universities,Town,Nb of universities by type - Private universities,dataset,Type and size of educational resources - private schools
http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Deir+Nbouh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Deir Nbouh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Bint_Jbeil_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Deir+Ntar,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,7200,1,0,Deir Ntar,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Tyre_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Deir+Qanoun+El-Aain,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Deir Qanoun El-Aain,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Tyre_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Deir+Qanoun+En-Nahr,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,9000,1,0,Deir Qanoun En-Nahr,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Deir+Qoubel,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Deir Qoubel,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Marjeyoun_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Deir+Siriane,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,3000,1,0,Deir Siriane,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Dekouaneh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Dekouaneh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Hasbaya_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Dellafeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Dellafeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Tyre_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Derdaghaiya,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,1975,1,0,Derdaghaiya,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Dfoun,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Dfoun,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0
